,delta_sigma_eta,betas,varnames,specification,IV_varnames
0,-1.361362885793535,4.885367692648247,x1,exogenous_p,x3_other1
1,5.831714979346831,0.9450119544584836,x2,,price
2,4.4578542591320325,1.0347026824053913,x3,,
3,4.992193025661867,-0.9209533508530794,price,,
4,4.245517766790652,,,,
5,5.846980351896532,,,,
6,4.028834757034159,,,,
7,3.6181798653014545,,,,
8,3.0878979950207386,,,,
9,0.39219166043800147,,,,
10,3.8589809233990677,,,,
11,2.5848484974149697,,,,
12,2.0339239370774713,,,,
13,3.819626607466244,,,,
14,3.4690275659709737,,,,
15,2.00207872514854,,,,
16,2.3249997006028607,,,,
17,1.7016027310137685,,,,
18,2.4601391464035434,,,,
19,1.9885736966082304,,,,
20,1.3607834486018566,,,,
21,-2.3956310784430594,,,,
22,2.8462728694421933,,,,
23,0.8272153717802107,,,,
24,0.6487531542400493,,,,
25,5.20847685746394,,,,
26,5.7578834919897535,,,,
27,0.18050031731174584,,,,
28,4.646703354483554,,,,
29,0.3615201823438555,,,,
30,1.093708157715587,,,,
31,2.1251696911963194,,,,
32,0.42521920101067057,,,,
33,1.8623569562352011,,,,
34,4.403600808997559,,,,
35,3.5568998512770547,,,,
36,-0.4220452112905206,,,,
37,4.3309289713675385,,,,
38,3.077765645804087,,,,
39,3.7155494826365665,,,,
40,3.1889092624598185,,,,
41,3.441252135739066,,,,
42,0.7363543028253562,,,,
43,3.104814997496226,,,,
44,3.968350133797036,,,,
45,2.2349975131349473,,,,
46,2.1875447202596967,,,,
47,4.252910267266842,,,,
48,0.5420380752760441,,,,
49,5.706979375731516,,,,
50,3.770134000249034,,,,
51,2.0430877699204006,,,,
52,3.3668831612537478,,,,
53,0.903771532218498,,,,
54,4.386353214810678,,,,
55,2.370239153352805,,,,
56,4.425952243330814,,,,
57,1.4223885310887139,,,,
58,2.3462848406119625,,,,
59,0.4744349755533488,,,,
60,0.5001794531465844,,,,
61,1.077479203611616,,,,
62,1.5394078300868872,,,,
63,1.4860613938876346,,,,
64,4.0167876562413545,,,,
65,3.5863831303616354,,,,
66,-2.5583547419297314,,,,
67,5.653384515919476,,,,
68,5.219185506768578,,,,
69,3.601731252206847,,,,
70,3.540920286816593,,,,
71,3.2529408281949332,,,,
72,2.18942842714622,,,,
73,4.4554164848545454,,,,
74,3.768280762274415,,,,
75,5.834606378466134,,,,
76,1.798893791710178,,,,
77,7.224225827168598,,,,
78,2.570281307075571,,,,
79,5.130208348879126,,,,
