,delta_sigma_eta,betas,varnames,specification,IV_varnames
0,-1.3661740245891216,4.883196352931931,x1,exogenous_p_x2_x3_1,price
1,5.828035242131685,0.9446092091479079,x2,,x2_other1
2,4.45390035825614,1.0343952076722625,x3,,x3_other1
3,4.9882193418368175,-0.9210652961974256,price,,
4,4.242180525270141,,,,
5,5.843657136996697,,,,
6,4.026357467875403,,,,
7,3.6158206210250174,,,,
8,3.0866101250864473,,,,
9,0.38912021822332693,,,,
10,3.8566170183247124,,,,
11,2.5822362075730134,,,,
12,2.030959812038222,,,,
13,3.817122968425219,,,,
14,3.466400356638443,,,,
15,1.9996784154676022,,,,
16,2.322763310156857,,,,
17,1.699267173785633,,,,
18,2.458024069628714,,,,
19,1.9863138679739603,,,,
20,1.358317659776171,,,,
21,-2.398092837651896,,,,
22,2.844841614226689,,,,
23,0.8249545341174811,,,,
24,0.6448446605722808,,,,
25,5.205900777268039,,,,
26,5.7543524241725805,,,,
27,0.17683596133120327,,,,
28,4.6437286204790915,,,,
29,0.3586610052827298,,,,
30,1.0918354753503394,,,,
31,2.123759572739671,,,,
32,0.42318596520416746,,,,
33,1.859235395496377,,,,
34,4.4007001520052915,,,,
35,3.553612625878878,,,,
36,-0.4256118787593209,,,,
37,4.32821632188261,,,,
38,3.0746634230184173,,,,
39,3.711956668839449,,,,
40,3.1866025122050825,,,,
41,3.438529734401893,,,,
42,0.7334337725901805,,,,
43,3.1029732299264308,,,,
44,3.9655284821056656,,,,
45,2.231551533069628,,,,
46,2.184660033796769,,,,
47,4.250216717752542,,,,
48,0.537784428901903,,,,
49,5.703484775500486,,,,
50,3.767876553581951,,,,
51,2.0405154803829717,,,,
52,3.3648564830018985,,,,
53,0.9010784652218155,,,,
54,4.383149062390598,,,,
55,2.366785214942282,,,,
56,4.423549098015959,,,,
57,1.420177721179923,,,,
58,2.3442034763747874,,,,
59,0.472655978388288,,,,
60,0.498602330603661,,,,
61,1.0756186198285282,,,,
62,1.5379861710474114,,,,
63,1.482852259487737,,,,
64,4.014290452739385,,,,
65,3.583208609863556,,,,
66,-2.560505216560801,,,,
67,5.652454249695366,,,,
68,5.218510053259016,,,,
69,3.5996627449582865,,,,
70,3.540129603144171,,,,
71,3.2508853772854023,,,,
72,2.185752255786376,,,,
73,4.45250498416032,,,,
