,delta_sigma_eta,betas,varnames,specification,IV_varnames
0,-1.8646263720926697,4.658220805323712,x1,exogeneous_p_x3_2,x3_other2
1,5.4465820116379104,0.9030396771162795,x2,,price
2,4.043783813138004,1.0026018806394226,x3,,
3,4.5765187627591795,-0.9332505840757956,price,,
4,3.8977923551955573,,,,
5,5.500728665599202,,,,
6,3.767229426776578,,,,
7,3.3691443711338405,,,,
8,2.9525116163348324,,,,
9,0.06843230016356178,,,,
10,3.6105431697965487,,,,
11,2.3101746519123583,,,,
12,1.7223355775951454,,,,
13,3.556819748874969,,,,
14,3.1932083235454596,,,,
15,1.7483510783440002,,,,
16,2.088558218481708,,,,
17,1.4547069614192547,,,,
18,2.2366003266537358,,,,
19,1.7497661854415907,,,,
20,1.100191010097132,,,,
21,-2.656811113366112,,,,
22,2.6953958695514317,,,,
23,0.587494537219206,,,,
24,0.23748026082012688,,,,
25,4.939557269740983,,,,
26,5.387303781473299,,,,
27,-0.20553681856548425,,,,
28,4.33411632663862,,,,
29,0.0610785631452752,,,,
30,0.8953667667376616,,,,
31,1.9759894820653334,,,,
32,0.20970903712349268,,,,
33,1.5344091956588917,,,,
34,4.098914945663529,,,,
35,3.2114089158190806,,,,
36,-0.798000648489733,,,,
37,4.046019397991418,,,,
38,2.7516656825064416,,,,
39,3.3358723727038364,,,,
40,2.945892063024077,,,,
41,3.154434513759727,,,,
42,0.427828720612231,,,,
43,2.9106588325971017,,,,
44,3.670365492669875,,,,
45,1.871802265324108,,,,
46,1.8842967389238394,,,,
47,3.969816916139542,,,,
48,0.09239950313175127,,,,
49,5.338817088787108,,,,
50,3.532509453541757,,,,
51,1.7717093954833165,,,,
52,3.153411669030534,,,,
53,0.619458630792918,,,,
54,4.0492636082864575,,,,
55,2.006298325394112,,,,
56,4.174033316770041,,,,
57,1.1884189610668607,,,,
58,2.12599701525521,,,,
59,0.2860485132130883,,,,
60,0.3330041164365981,,,,
61,0.8801676388038389,,,,
62,1.388716799200055,,,,
63,1.1479604117025801,,,,
64,3.7541933753423584,,,,
65,3.2519962464831615,,,,
66,-2.766719880666469,,,,
67,5.558128389265984,,,,
68,5.150908988337056,,,,
69,3.382594477176588,,,,
70,3.4583605579600545,,,,
71,3.0351998652857515,,,,
72,1.8025317575148048,,,,
73,4.15003991740008,,,,
74,3.450882962709571,,,,
75,5.31936991523439,,,,
76,1.242403403796879,,,,
77,6.707811361356246,,,,
78,2.1999447887046406,,,,
79,4.782276842893316,,,,
80,4.236547511237663,,,,
81,1.5380267630578786,,,,
82,5.064703242752344,,,,
83,3.957537519914778,,,,
84,0.11517179806392722,,,,
85,0.11552525202506644,,,,
86,1.1283515141453047,,,,
87,2.506229304717039,,,,
88,1.8859997945188058,,,,
89,0.21195638303123202,,,,
90,0.40812269163524273,,,,
91,6.098083422965632,,,,
92,4.4594638769039525,,,,
93,-0.865570520460935,,,,
94,5.36645003216194,,,,
95,4.604507405721167,,,,
96,2.501046407450455,,,,
97,-1.451855270966624,,,,
98,2.7722720294766794,,,,
99,5.144978666734939,,,,
100,5.278074044928699,,,,
101,4.695483466906098,,,,
102,3.4654862895508582,,,,
103,2.362626578093889,,,,
104,3.7033482484581626,,,,
105,2.5582257416643333,,,,
106,-0.2146177264574758,,,,
107,3.0190815529106123,,,,
108,-1.1022823618258282,,,,
109,-1.0889449795072006,,,,
110,3.6746012677200106,,,,
111,-0.1985333542018512,,,,
112,2.104700867202593,,,,
113,-1.0632462976445578,,,,
114,3.8921438894365976,,,,
115,2.699206123235643,,,,
116,3.694358892426642,,,,
117,2.6736388946881875,,,,
118,2.982625041657834,,,,
119,1.4687372439084017,,,,
120,5.056495737280085,,,,
121,0.6973358135630063,,,,
122,5.00134614250279,,,,
123,0.8077011723098119,,,,
124,2.620367447305853,,,,
125,2.6532063524992178,,,,
126,1.774557807848897,,,,
127,1.8999709521932175,,,,
128,4.062216126116054,,,,
129,2.066493984274753,,,,
130,1.4370190241280711,,,,
131,1.6780787364858305,,,,
132,2.02409789587172,,,,
133,-1.3219108171691474,,,,
134,1.7603623027857322,,,,
135,0.9508979503878028,,,,
136,3.66321920247647,,,,
137,2.9120092398012853,,,,
138,3.836315519383292,,,,
139,2.501193876896402,,,,
140,3.9199068996513398,,,,
141,1.6669474096938708,,,,
142,2.8310266386266663,,,,
143,0.7131343861095343,,,,
144,5.667365239305574,,,,
145,0.5646929714560336,,,,
146,4.006568971919899,,,,
147,1.1602818388167626,,,,
148,3.300752212731005,,,,
149,3.822966373509481,,,,
150,2.4728320213260733,,,,
151,3.760746276443011,,,,
152,0.9592298633189121,,,,
153,1.792276369178861,,,,
154,3.5520257653383633,,,,
155,4.3437296646573875,,,,
156,1.6204029325776856,,,,
157,3.281810220519066,,,,
158,3.422480003311078,,,,
159,1.3515446025690556,,,,
160,1.5327391578321516,,,,
161,4.10255027003458,,,,
162,5.282162814228483,,,,
163,4.817932117126884,,,,
164,0.43152813193551826,,,,
165,4.094593600598457,,,,
166,1.4580671590959065,,,,
167,2.0300599870724323,,,,
168,1.671735359231433,,,,
169,2.111340883361478,,,,
170,2.690978854666213,,,,
171,-0.6683575595609692,,,,
172,2.7623169966737136,,,,
173,1.349819043380235,,,,
174,0.47313445039607815,,,,
175,2.7208249028817826,,,,
176,2.90649390680725,,,,
177,4.927738087633994,,,,
178,3.9909095032098834,,,,
179,3.7480029997822926,,,,
180,3.35544571649424,,,,
181,5.133580481001424,,,,
182,2.1562735021161394,,,,
183,2.1818282922074834,,,,
184,4.480463054565545,,,,
185,4.63622867175204,,,,
186,-1.3894350383018703,,,,
187,4.024793092973239,,,,
188,1.478038875065431,,,,
189,1.9311547030616028,,,,
190,4.324824732682773,,,,
191,0.9496776591102858,,,,
192,2.847981864144115,,,,
193,3.496874100591951,,,,
194,-0.6939985157762207,,,,
195,1.002853343747048,,,,
196,4.415104729468506,,,,
197,1.628323348962921,,,,
198,2.4686171506735897,,,,
199,3.4554447347551793,,,,
200,4.812277615094248,,,,
201,3.3407425279191165,,,,
202,2.0634200328565817,,,,
203,2.086824807434802,,,,
204,-0.6158823771468682,,,,
205,0.5330531383663012,,,,
206,-0.7602948500030999,,,,
207,-1.2354448502250253,,,,
208,2.6181440538753114,,,,
209,-1.0057772364733235,,,,
