,delta_sigma_eta,betas,varnames,specification,IV_varnames
0,-1.3679310290352962,5.002897412041634,x1,iv_BLP_hausman,x2_other1
1,5.6962313387824235,0.9692049814375301,x2,,x2_other2
2,4.332228827560921,1.0387249900596642,x3,,x3_other1
3,5.559102281929656,-0.9657657240377371,price,,x3_other2
4,4.794966425384612,,,,price_others
5,6.395255490947413,,,,
6,4.154794305069453,,,,
7,3.7343510137210765,,,,
8,3.1601482342372647,,,,
9,0.18881662218510148,,,,
10,3.727102632937009,,,,
11,2.4313494919997387,,,,
12,2.055677852293087,,,,
13,3.8369490112872997,,,,
14,3.4876113438956216,,,,
15,1.8292560312623225,,,,
16,2.174919072517015,,,,
17,1.5381860033963533,,,,
18,2.306698824004245,,,,
19,1.8312294496128267,,,,
20,1.1993680720824016,,,,
21,-2.4796649604221246,,,,
22,2.7252351646830957,,,,
23,0.7208400220668357,,,,
24,0.45973411302849004,,,,
25,5.109524369115114,,,,
26,5.600735203548914,,,,
27,0.02248915069674191,,,,
28,4.503307765864698,,,,
29,0.22070645954083043,,,,
30,1.0221855688484984,,,,
31,2.0404269979236576,,,,
32,0.3600451332586973,,,,
33,2.046587602221094,,,,
34,4.581261758407157,,,,
35,3.745840166145658,,,,
36,-0.6167741210647883,,,,
37,4.111057002667307,,,,
38,2.8540086676717253,,,,
39,3.686507237151823,,,,
40,3.1156470737335393,,,,
41,3.3674879310186854,,,,
42,0.9019594465719283,,,,
43,3.158830249631248,,,,
44,4.119714723493309,,,,
45,2.5392127172795314,,,,
46,2.4164220088974417,,,,
47,4.464220476536694,,,,
48,0.4117990934604186,,,,
49,5.515754773895736,,,,
50,3.570010233129576,,,,
51,2.044381432462096,,,,
52,3.3457904310551116,,,,
53,0.9105590438361909,,,,
54,4.347007649907094,,,,
55,2.3342194983609694,,,,
56,4.397818834841412,,,,
57,1.3180193757136316,,,,
58,2.251876454027308,,,,
59,0.4026795929869173,,,,
60,0.4838279854271261,,,,
61,1.0263929221139256,,,,
62,1.5376928191493018,,,,
63,1.6336881566495556,,,,
64,4.143473986109258,,,,
65,3.734422461471344,,,,
66,-2.5998199515664355,,,,
67,5.512064491796886,,,,
68,5.0742282014231,,,,
69,3.707710970284843,,,,
70,3.5256300048732196,,,,
71,3.3573537423019766,,,,
72,2.3317931624006176,,,,
73,4.51424191791972,,,,
74,3.835390544810854,,,,
75,6.262010463041279,,,,
76,2.2240676533927264,,,,
77,7.651821299780059,,,,
78,2.5278703359581267,,,,
79,5.087336910794594,,,,
80,4.486288136352033,,,,
81,2.1910772336736213,,,,
82,5.476510696516086,,,,
83,4.374741355013407,,,,
84,0.3693000539719995,,,,
85,0.3569492558497552,,,,
86,1.347868597391121,,,,
87,2.6952070996056916,,,,
88,2.062258258996597,,,,
89,0.3856735744053358,,,,
90,0.8313859050466144,,,,
91,6.423597190495763,,,,
92,4.81197361820152,,,,
93,-0.30068459137648196,,,,
94,5.704524563520315,,,,
95,5.135050097374155,,,,
96,2.980201593288537,,,,
97,-0.9156465626714841,,,,
98,3.2541639664891995,,,,
99,5.141352630968242,,,,
100,5.27470927814699,,,,
101,4.6947728596660365,,,,
102,3.74336235277908,,,,
103,2.6881226755744483,,,,
104,3.9545764663892435,,,,
105,3.0281772245085654,,,,
106,0.3207676066426464,,,,
107,3.5030399496168942,,,,
108,-1.0019757811543286,,,,
109,-0.9873908913377607,,,,
110,3.7951617202117163,,,,
111,0.08950364809098554,,,,
112,2.2938714011291013,,,,
113,-0.7722329405486116,,,,
114,4.2938296172158985,,,,
115,3.0848600810300355,,,,
116,4.0307522076749995,,,,
117,2.8994835262780305,,,,
118,3.208168770681752,,,,
119,1.657660843671847,,,,
120,5.2249959586583525,,,,
121,0.8656954105473115,,,,
122,5.176234375912625,,,,
123,1.1799455493551654,,,,
124,2.7985669907227155,,,,
125,3.0320904102204875,,,,
126,2.4664877705310295,,,,
127,2.4763832908183656,,,,
128,4.55391601997068,,,,
129,2.1398514801531623,,,,
130,1.4625051801431705,,,,
131,1.7641108938458598,,,,
132,2.273526038295382,,,,
133,-1.0214828964223859,,,,
134,1.9400892366322704,,,,
135,1.3441126323569805,,,,
136,4.045772475033792,,,,
137,3.23297243299467,,,,
138,4.273817511691137,,,,
139,2.7746026118695144,,,,
140,4.280638601961325,,,,
141,2.0729998596232377,,,,
142,3.1365271505518253,,,,
143,1.0546146909878382,,,,
144,5.984432026981984,,,,
145,0.9938272428634882,,,,
146,4.2450285556133815,,,,
147,1.5408812217094987,,,,
148,3.5749587605488884,,,,
149,4.166691838283069,,,,
150,2.982006464795772,,,,
151,4.303907376952954,,,,
152,1.5941938300818503,,,,
153,2.2217955662684123,,,,
154,3.8386868031422545,,,,
155,4.687003143124531,,,,
156,1.8361087222245518,,,,
157,3.3974052946683257,,,,
158,3.641593636073777,,,,
159,1.8819666086358957,,,,
160,1.9278587296142482,,,,
161,4.493431113309296,,,,
162,5.4291394849136925,,,,
163,4.971259008132045,,,,
164,0.5748225264247979,,,,
165,4.25213869519857,,,,
166,1.5895937907049262,,,,
167,2.1875510156137365,,,,
168,2.1607187348329386,,,,
169,2.565365279643777,,,,
170,3.009507220111253,,,,
171,-0.342933675558284,,,,
172,3.0180754976746775,,,,
173,1.688013101828463,,,,
174,1.0674647525900876,,,,
175,3.1374626592318666,,,,
176,3.2455559444873154,,,,
177,5.015331005979769,,,,
178,4.067455828808204,,,,
179,3.8768928389702526,,,,
180,3.6984041768440594,,,,
181,5.363095202952448,,,,
182,2.335832775097648,,,,
183,2.3140855852590074,,,,
184,4.502252814613885,,,,
185,4.71681621733315,,,,
186,-1.349230082963261,,,,
187,3.998433968661226,,,,
188,1.4643932202057144,,,,
189,2.194023929531585,,,,
190,4.528999764268896,,,,
191,1.1183354105396641,,,,
192,3.1537871969333966,,,,
193,3.7168034271660644,,,,
194,-0.30475626340739753,,,,
195,1.2495693010784799,,,,
196,4.6531684959075115,,,,
197,1.8734998728759906,,,,
198,2.813576027799307,,,,
199,3.729780664417872,,,,
200,5.101896282439784,,,,
201,3.548806715171712,,,,
202,2.351465160655243,,,,
203,2.342879864039123,,,,
204,-0.44804169007343736,,,,
205,0.6631433313792824,,,,
206,-0.6443355507588243,,,,
207,-0.7869832803167273,,,,
208,3.08230002642843,,,,
209,-0.5377584936816515,,,,
210,0.7204050889462585,,,,
211,2.407192187850402,,,,
212,-0.6883078667666706,,,,
213,0.6650555100039147,,,,
214,4.853045981288461,,,,
215,1.811641854203099,,,,
216,3.870644121504138,,,,
217,3.7247608177824736,,,,
218,4.048032784346152,,,,
219,4.315616877253033,,,,
220,3.8584063963136006,,,,
221,4.052791906354265,,,,
222,1.9327994847768908,,,,
223,1.8191046708478091,,,,
224,1.9779828002579256,,,,
225,2.8335624230049596,,,,
226,3.5927088490098127,,,,
227,-0.448442342592928,,,,
228,1.616108056135957,,,,
229,2.506165117878934,,,,
230,3.291088051853095,,,,
231,1.915149601417331,,,,
232,0.11214043504865388,,,,
233,0.09244225218782798,,,,
234,1.7306996292885422,,,,
235,2.1526922162893984,,,,
236,4.235567777461994,,,,
237,2.3189513677039337,,,,
238,4.820685820997117,,,,
239,5.029984893254464,,,,
240,2.9248729510204687,,,,
241,3.6147523745710015,,,,
242,1.404459114082081,,,,
243,3.67552055410652,,,,
244,4.5414206635741925,,,,
245,2.7646370383181686,,,,
246,0.5242462388646804,,,,
247,7.240840553818448,,,,
248,4.893192055345974,,,,
249,2.2503532377350077,,,,
250,-1.528814520421669,,,,
251,-1.841234900815577,,,,
252,3.067335067754965,,,,
253,3.4883444587626316,,,,
254,3.6916716731430372,,,,
255,3.3966294345495163,,,,
256,3.125302525272283,,,,
257,0.998648197346526,,,,
258,1.955952225119677,,,,
259,2.9648959592016735,,,,
260,2.36566398930419,,,,
261,1.0783133341953586,,,,
262,3.5323276035145685,,,,
263,-0.028387750749439767,,,,
264,2.1128880937402115,,,,
265,0.9094316693190787,,,,
266,2.218079284246938,,,,
267,4.436856753269947,,,,
268,4.574802176804007,,,,
269,4.045366032954394,,,,
270,-0.47136856017245404,,,,
271,3.372574236963041,,,,
272,4.267987220421553,,,,
273,1.579600287788822,,,,
274,3.0833041548253988,,,,
275,1.8964068137029029,,,,
276,-0.8523483792014778,,,,
277,0.5384006940256039,,,,
278,0.6655021279293856,,,,
279,1.0170308478956767,,,,
280,3.282284820499728,,,,
281,2.1077374628241436,,,,
282,-1.7504482217012098,,,,
283,1.2977437725310406,,,,
284,1.9028867827656546,,,,
285,0.06420856898271714,,,,
286,2.7716495491357045,,,,
287,4.926646017869413,,,,
288,3.254594651457936,,,,
289,3.451010978408835,,,,
290,1.7780461651993797,,,,
291,1.3663704846012068,,,,
292,3.2664127205257922,,,,
293,2.685511029101379,,,,
294,1.044110121139366,,,,
295,3.096984928873717,,,,
296,2.3209106763451524,,,,
297,3.1074611530493548,,,,
298,4.674153340123985,,,,
299,5.0494309335263505,,,,
300,1.0140715539581486,,,,
301,-4.523358708025603e-12,,,,
302,-3.981134375048374e-13,,,,
303,7.315357517091085e-13,,,,
304,0.40344005688736934,,,,
305,0.09131452328349446,,,,
306,-2.7959780878307865,,,,
307,2.6950009345797343,,,,
308,0.09838858096044088,,,,
