,delta_sigma_eta,betas,varnames,specification,IV_varnames
0,-1.354678685473869,5.037765231745068,x1,iv_BLP_hausman_w,x2_other1
1,5.706381257750924,0.9762126840709842,x2,,x2_other2
2,4.3431452658063865,1.0406727883768785,x3,,x3_other1
3,5.571517599613552,-0.9759732426194523,price,,x3_other2
4,4.805564768396976,,,,price_others
5,6.405812394921409,,,,w
6,4.161940389277084,,,,
7,3.741159009237703,,,,
8,3.163876807419111,,,,
9,0.19726267046178778,,,,
10,3.7335747277093296,,,,
11,2.4385091764142004,,,,
12,2.0641051017098397,,,,
13,3.8440715923713724,,,,
14,3.4950843862934775,,,,
15,1.8358133476325889,,,,
16,2.1810286793917615,,,,
17,1.5445662964875821,,,,
18,2.312475103761239,,,,
19,1.8374015003400774,,,,
20,1.2061057649253064,,,,
21,-2.472867642535136,,,,
22,2.7291471696280376,,,,
23,0.7270760938378339,,,,
24,0.47056681583674087,,,,
25,5.116629693438334,,,,
26,5.610505772626593,,,,
27,0.03258233184360405,,,,
28,4.511472078938404,,,,
29,0.22855166388240566,,,,
30,1.0273819308260455,,,,
31,2.044332362202808,,,,
32,0.36569239256516534,,,,
33,2.055780998431257,,,,
34,4.589813716896318,,,,
35,3.7555103002650077,,,,
36,-0.6070972830347316,,,,
37,4.118356310918057,,,,
38,2.8623797615680946,,,,
39,3.6965695155070417,,,,
40,3.1220761772798777,,,,
41,3.375083106717504,,,,
42,0.9104136788862086,,,,
43,3.1641562419324583,,,,
44,4.127883641806118,,,,
45,2.5493997233996364,,,,
46,2.4250000258643065,,,,
47,4.472239571000591,,,,
48,0.4235483283246593,,,,
49,5.525348857363311,,,,
50,3.5761431170853215,,,,
51,2.051635242235004,,,,
52,3.351502641198375,,,,
53,0.9181545491207526,,,,
54,4.3560210174196445,,,,
55,2.3439382622514353,,,,
56,4.404574375994119,,,,
57,1.3241458576955072,,,,
58,2.257644183253732,,,,
59,0.4076110627432617,,,,
60,0.4882737652984918,,,,
61,1.031636603919124,,,,
62,1.5417009444864698,,,,
63,1.6430217201670965,,,,
64,4.150765413171634,,,,
65,3.743657481996377,,,,
66,-2.5942901614024616,,,,
67,5.514638171118243,,,,
68,5.0760840903309425,,,,
69,3.713636162349247,,,,
70,3.527865663178165,,,,
71,3.363241002874455,,,,
72,2.342332781766777,,,,
73,4.522608210570522,,,,
74,3.844083130222593,,,,
75,6.27697751512785,,,,
76,2.240152154717935,,,,
77,7.666821172412154,,,,
78,2.5377799146999704,,,,
79,5.096653669423395,,,,
80,4.494262413115188,,,,
81,2.203588781970184,,,,
82,5.486795685151732,,,,
83,4.385105996587556,,,,
84,0.3744003586323211,,,,
85,0.3618009801919166,,,,
86,1.3522966450904306,,,,
87,2.701501784339446,,,,
88,2.068181340532708,,,,
89,0.39151804226599163,,,,
90,0.8457668821482787,,,,
91,6.435130791464501,,,,
92,4.824212300827244,,,,
93,-0.288294814299965,,,,
94,5.713822762714912,,,,
95,5.147032521551435,,,,
96,2.9872432889686102,,,,
97,-0.907775325354125,,,,
98,3.261242629526775,,,,
99,5.149658597808067,,,,
100,5.283151138780804,,,,
101,4.7047175395245,,,,
102,3.7508785577075607,,,,
103,2.6968040494902934,,,,
104,3.961497666543858,,,,
105,3.0352477888751546,,,,
106,0.3289109080614948,,,,
107,3.5103410547547176,,,,
108,-0.9930858902955131,,,,
109,-0.9785431181851085,,,,
110,3.8027567733325403,,,,
111,0.09579486922832829,,,,
112,2.2985894385047128,,,,
113,-0.7659070336133187,,,,
114,4.303542173886589,,,,
115,3.0934147868758486,,,,
116,4.037217888728665,,,,
117,2.9073031340089663,,,,
118,3.2159520047885723,,,,
119,1.6632589948118395,,,,
120,5.233806287842832,,,,
121,0.875436982534675,,,,
122,5.183835894571875,,,,
123,1.186719523239639,,,,
124,2.8025747290040224,,,,
125,3.038993033127813,,,,
126,2.4766655914862294,,,,
127,2.4853089888796833,,,,
128,4.561495210674478,,,,
129,2.1446940109934247,,,,
130,1.4654972009307465,,,,
131,1.7694776474743177,,,,
132,2.279414364697176,,,,
133,-1.0147279725916556,,,,
134,1.9443086367718676,,,,
135,1.353141770362686,,,,
136,4.054444235191768,,,,
137,3.2401173133465138,,,,
138,4.284024022536374,,,,
139,2.7817693301664455,,,,
140,4.28943050616392,,,,
141,2.0807711680964607,,,,
142,3.1427530662234426,,,,
143,1.0613938783273105,,,,
144,5.992998436808666,,,,
145,1.0046747073330025,,,,
146,4.251676635870899,,,,
147,1.5495759468288128,,,,
148,3.581077818902984,,,,
149,4.174567648289912,,,,
150,2.989712363148018,,,,
151,4.312057154604608,,,,
152,1.6034505809095714,,,,
153,2.2317045826700164,,,,
154,3.8455342664757772,,,,
155,4.695153946954196,,,,
156,1.8439844005587016,,,,
157,3.4029670366736546,,,,
158,3.6495308410322207,,,,
159,1.892648961813959,,,,
160,1.9361339812183376,,,,
161,4.50162555566226,,,,
162,5.439271676560824,,,,
163,4.981536682706512,,,,
164,0.5848672954802174,,,,
165,4.260107058197168,,,,
166,1.5967602611194052,,,,
167,2.195517850022236,,,,
168,2.167861941455695,,,,
169,2.572007455608585,,,,
170,3.014367309058586,,,,
171,-0.3358822196679361,,,,
172,3.0233314105787388,,,,
173,1.695700647875777,,,,
174,1.0768260893276607,,,,
175,3.1448848045223885,,,,
176,3.2518503563668144,,,,
177,5.0239864642653975,,,,
178,4.075002897958117,,,,
179,3.8867271840820177,,,,
180,3.7100231720188406,,,,
181,5.372274213632517,,,,
182,2.344038151565697,,,,
183,2.324615611177657,,,,
184,4.5100682450938505,,,,
185,4.726507813235226,,,,
186,-1.3391304856140587,,,,
187,4.00616124206181,,,,
188,1.4728573233724849,,,,
189,2.203702849487786,,,,
190,4.537155006733914,,,,
191,1.125304407316581,,,,
192,3.1618918577809967,,,,
193,3.723681418124928,,,,
194,-0.2954068798027139,,,,
195,1.2598432582652093,,,,
196,4.661974604508503,,,,
197,1.8835133126720107,,,,
198,2.8231690402140495,,,,
199,3.73825704863253,,,,
200,5.1106594637896,,,,
201,3.5553788473785013,,,,
202,2.3599444412303603,,,,
203,2.3504996410246366,,,,
204,-0.4427439126944352,,,,
205,0.6671456366033534,,,,
206,-0.6409055570166984,,,,
207,-0.7805009321460347,,,,
208,3.0890960140439963,,,,
209,-0.5308853867208783,,,,
210,0.7264406071368448,,,,
211,2.4124965079390783,,,,
212,-0.6821566269532356,,,,
213,0.6759608539758919,,,,
214,4.861177728594022,,,,
215,1.8210208881754255,,,,
216,3.8798126539650735,,,,
217,3.73386273426478,,,,
218,4.056762548573257,,,,
219,4.325499831947175,,,,
220,3.865452371270738,,,,
221,4.060694560269351,,,,
222,1.938862529357539,,,,
223,1.824745012551684,,,,
224,1.9845447610305256,,,,
225,2.8409184015630307,,,,
226,3.5979092463382245,,,,
227,-0.44067752680305133,,,,
228,1.6237544413810998,,,,
229,2.512490681297688,,,,
230,3.2984387421376997,,,,
231,1.9206782013465442,,,,
232,0.11677303741756058,,,,
233,0.09695622513039182,,,,
234,1.7399975638619138,,,,
235,2.160123987710826,,,,
236,4.243269317415043,,,,
237,2.3291149395422277,,,,
238,4.829019343617985,,,,
239,5.040663616792196,,,,
240,2.932709362809864,,,,
241,3.62282838212725,,,,
242,1.4125618111821467,,,,
243,3.6818506370607706,,,,
244,4.550546207864464,,,,
245,2.773228617375301,,,,
246,0.5369599733950294,,,,
247,7.2517586169736195,,,,
248,4.902011560909335,,,,
249,2.2561713313763465,,,,
250,-1.524014023699494,,,,
251,-1.8362317103620243,,,,
252,3.0756401871948746,,,,
253,3.494497039916553,,,,
254,3.6983539808588572,,,,
255,3.4038828891147532,,,,
256,3.1309668695312345,,,,
257,1.0058901041451558,,,,
258,1.963051621852448,,,,
259,2.972029703888537,,,,
260,2.372426805182332,,,,
261,1.0857804942078964,,,,
262,3.5379222171149696,,,,
263,-0.01992531651420969,,,,
264,2.1194259470926737,,,,
265,0.9143262317701425,,,,
266,2.221624955829698,,,,
267,4.447473559977483,,,,
268,4.583321203504776,,,,
269,4.0535510166958595,,,,
270,-0.4619329008260231,,,,
271,3.379827621280809,,,,
272,4.274062441050432,,,,
273,1.58681167138328,,,,
274,3.089552435107816,,,,
275,1.9026196474054027,,,,
276,-0.8467471355376441,,,,
277,0.5416390786898355,,,,
278,0.6702238882978871,,,,
279,1.025009369977555,,,,
280,3.2879836806544254,,,,
281,2.1141097877378043,,,,
282,-1.7434962931594704,,,,
283,1.3026623339888868,,,,
284,1.9072116036541908,,,,
285,0.07545238041696452,,,,
286,2.780297869516047,,,,
287,4.935847788753799,,,,
288,3.2615396716269034,,,,
289,3.456391698556874,,,,
290,1.7854596497935138,,,,
291,1.372167172024133,,,,
292,3.2737663049463612,,,,
293,2.693092317452909,,,,
294,1.0516075140265893,,,,
295,3.103511747119588,,,,
296,2.3257406598291035,,,,
297,3.1174843029711936,,,,
298,4.684297193203438,,,,
299,5.058149078268366,,,,
300,1.0162930607416136,,,,
301,2.809603501811931e-12,,,,
302,6.118042224593269e-13,,,,
303,-1.0117183905257442e-12,,,,
304,0.34051753355750186,,,,
305,0.10307303198678049,,,,
306,-2.974956877715194,,,,
307,2.44926496843014,,,,
308,1.247695140448536,,,,
309,0.5264653841308221,,,,
