,delta_sigma_eta,betas,varnames,specification,IV_varnames
0,-0.6033960863120503,6.14842355639813,x1,iv_allBLP,x3_other1
1,6.42028886230698,1.1971853521934115,x2,,x3_other2
2,5.089752251929978,1.1187884143549638,x3,,x2_other1
3,5.6283329922116705,-1.239655019836128,price,,x2_other2
4,4.782742741786505,,,,
5,6.381974022252587,,,,
6,4.420304808874634,,,,
7,3.991206060280506,,,,
8,3.2926752817346707,,,,
9,0.8787274163829768,,,,
10,4.2351313772878045,,,,
11,3.000242505243389,,,,
12,2.5054178805903233,,,,
13,4.21869541881273,,,,
14,3.887709639308874,,,,
15,2.3809538065982307,,,,
16,2.6779051892570505,,,,
17,2.0702294957120317,,,,
18,2.7940579864742188,,,,
19,2.345417710370253,,,,
20,1.750114062024616,,,,
21,-2.010194367795318,,,,
22,3.0730103910125024,,,,
23,1.1823938804910952,,,,
24,1.2702663498604272,,,,
25,5.622258101366851,,,,
26,6.320813552465209,,,,
27,0.7615921809684486,,,,
28,5.120087772355558,,,,
29,0.8164789218927101,,,,
30,1.3884209625422106,,,,
31,2.3474250217580024,,,,
32,0.7448591755191549,,,,
33,2.3592241874463036,,,,
34,4.8654066184735445,,,,
35,4.079812533386606,,,,
36,0.1428192819443969,,,,
37,4.762910775072154,,,,
38,3.571185498277583,,,,
39,4.282631892637154,,,,
40,3.5546315262302857,,,,
41,3.872869979166483,,,,
42,1.1975380554477846,,,,
43,3.396523996255162,,,,
44,4.414167261269313,,,,
45,2.7809954725847006,,,,
46,2.6463671172325793,,,,
47,4.6814573238158745,,,,
48,1.213913363950585,,,,
49,6.26088937661218,,,,
50,4.128319767926291,,,,
51,2.450142062194369,,,,
52,3.68834070973397,,,,
53,1.3294881265637704,,,,
54,4.895307082308151,,,,
55,2.9176643781859513,,,,
56,4.809615612918073,,,,
57,1.7707707421025631,,,,
58,2.674227622200628,,,,
59,0.754487457130044,,,,
60,0.7481102657419644,,,,
61,1.3697988207343261,,,,
62,1.7628920131488328,,,,
63,1.9948323506904913,,,,
64,4.413771022765946,,,,
65,4.0897882817881,,,,
66,-2.2454277114215273,,,,
67,5.806645956943047,,,,
68,5.332361222325463,,,,
69,3.9271782038124576,,,,
70,3.66784468030142,,,,
71,3.5763597143647785,,,,
72,2.773092379999068,,,,
73,4.919973066879637,,,,
74,4.250979162694846,,,,
75,6.621696034720834,,,,
76,2.6469400501279696,,,,
77,8.01310260208768,,,,
78,3.132755922472681,,,,
79,5.660088059128712,,,,
80,4.988616971623524,,,,
81,2.697139878247213,,,,
82,6.017942559929207,,,,
83,4.918181215135771,,,,
84,0.5827555544001018,,,,
85,0.5603137312048241,,,,
86,1.5343083060739007,,,,
87,3.0990163461023443,,,,
88,2.4437823074199,,,,
89,0.7623254405512452,,,,
90,1.7716404962262444,,,,
91,7.197904681414998,,,,
92,5.62550302330827,,,,
93,0.28778395173920024,,,,
94,6.23604376207277,,,,
95,5.720683247031484,,,,
96,3.1220526188683593,,,,
97,-0.7565014735144225,,,,
98,3.396573805739269,,,,
99,5.989457448846135,,,,
100,6.135648369145125,,,,
101,5.693891267233996,,,,
102,4.167745662841156,,,,
103,3.1730087025308054,,,,
104,4.350055252039065,,,,
105,3.1827120171066223,,,,
106,0.5063671572972556,,,,
107,3.6641864172911847,,,,
108,-0.24415529615191758,,,,
109,-0.2348028382767896,,,,
110,4.408881908131988,,,,
111,0.3842476803331857,,,,
112,2.5418625674466364,,,,
113,-0.47729137730534066,,,,
114,4.784328145289013,,,,
115,3.483068278535914,,,,
116,4.283862791448092,,,,
117,3.4111975627422657,,,,
118,3.716751426075357,,,,
119,1.995885270271313,,,,
120,5.905099337804634,,,,
121,1.6325372403308929,,,,
122,5.735690981797362,,,,
123,1.4288805208887205,,,,
124,2.9891558547611323,,,,
125,3.2860866089855914,,,,
