,delta_sigma_eta,betas,varnames,specification,IV_varnames
0,-1.3469077943096763,5.034017307185293,x1,iv_allBLP_hausman,x2_other1
1,5.712334453192096,0.9753775557440165,x2,,x2_other2
2,4.3495478956929094,1.040908217790983,x3,,x3_other1
3,5.578799982251018,-0.9730983525402046,price,,x3_other2
4,4.811782355328161,,,,w
5,6.412005680151066,,,,
6,4.1661303152884575,,,,
7,3.7451507730838514,,,,
8,3.1660633666735407,,,,
9,0.20221503230601845,,,,
10,3.7373701308422387,,,,
11,2.4427077124165106,,,,
12,2.0690471217813524,,,,
13,3.8482487634728346,,,,
14,3.4994670651369426,,,,
15,1.8396577915134984,,,,
16,2.1846106110668058,,,,
17,1.5483069459803172,,,,
18,2.315861662725912,,,,
19,1.8410201143888587,,,,
20,1.2100560015736954,,,,
21,-2.4688832732145083,,,,
22,2.731440966321324,,,,
23,0.7307317279540054,,,,
24,0.4769192458031165,,,,
25,5.1207976566224405,,,,
26,5.61623587837047,,,,
27,0.03850070162011852,,,,
28,4.5162598907663165,,,,
29,0.23315233481565587,,,,
30,1.0304282450445807,,,,
31,2.046621945496365,,,,
32,0.36900293993310596,,,,
33,2.0611725157060996,,,,
34,4.594829098572174,,,,
35,3.7611812972241294,,,,
36,-0.6014232766008117,,,,
37,4.122636897070643,,,,
38,2.8672887223193486,,,,
39,3.7024690084484786,,,,
40,3.1258460195712576,,,,
41,3.3795366998729057,,,,
42,0.9153705104891379,,,,
43,3.167279205734658,,,,
44,4.1326732608871755,,,,
45,2.5553731612787125,,,,
46,2.4300305662371575,,,,
47,4.476942380588041,,,,
48,0.43043688730119123,,,,
49,5.530974525665897,,,,
50,3.5797393300342137,,,,
51,2.0558884356675766,,,,
52,3.3548521576163433,,,,
53,0.9226078358415333,,,,
54,4.361306537130246,,,,
55,2.3496370591354085,,,,
56,4.408536477233749,,,,
57,1.3277375655541541,,,,
58,2.2610255570925015,,,,
59,0.41050210601603093,,,,
60,0.49088000036823964,,,,
61,1.0347105328188824,,,,
62,1.5440506160984833,,,,
63,1.6484947704537865,,,,
64,4.1550413447977395,,,,
65,3.749072790311889,,,,
66,-2.591047818145781,,,,
67,5.516148952728773,,,,
68,5.07717406859896,,,,
69,3.717109788015187,,,,
70,3.529177078234749,,,,
71,3.3666923992151276,,,,
72,2.3485132629540866,,,,
73,4.527514951823179,,,,
74,3.849181211869287,,,,
75,6.285756201549195,,,,
76,2.2495858627306773,,,,
77,7.675619106177087,,,,
78,2.5435915888969363,,,,
79,5.102117926950824,,,,
80,4.498939485902783,,,,
81,2.2109258830469427,,,,
82,5.492828007790307,,,,
83,4.391185031118058,,,,
84,0.37739007089880156,,,,
85,0.36464497695956416,,,,
86,1.3548922763038964,,,,
87,2.7051924845381525,,,,
88,2.071654151410488,,,,
89,0.3949447559590023,,,,
90,0.8542004760211837,,,,
91,6.441896139898956,,,,
92,4.831391047571964,,,,
93,-0.2810289582194432,,,,
94,5.719277022030138,,,,
95,5.154059754869921,,,,
96,2.991372376985262,,,,
97,-0.9031598698984447,,,,
98,3.265393394648594,,,,
99,5.154531663934467,,,,
100,5.288103897140535,,,,
101,4.710551016194604,,,,
102,3.755286726359824,,,,
103,2.7018951658319077,,,,
104,3.965556937398545,,,,
105,3.0393939351213404,,,,
106,0.3336860028102201,,,,
107,3.514622386396507,,,,
108,-0.9878733867636941,,,,
109,-0.9733553018628711,,,,
110,3.8072101279371697,,,,
111,0.09948292236658579,,,,
112,2.3013553680871466,,,,
113,-0.762199177061437,,,,
114,4.309236982348913,,,,
115,3.0984311117458465,,,,
116,4.041009598822879,,,,
117,2.9118880500885242,,,,
118,3.220515594135385,,,,
119,1.6665411914551507,,,,
120,5.238974185244227,,,,
121,0.8811504732337747,,,,
122,5.188295127535139,,,,
123,1.1906908274696348,,,,
124,2.8049247101167865,,,,
125,3.043039723673838,,,,
126,2.482633454672188,,,,
127,2.490543362898031,,,,
128,4.565940253559798,,,,
129,2.1475330173002205,,,,
130,1.4672514019119187,,,,
131,1.7726239015584444,,,,
132,2.282866447606173,,,,
133,-1.0107680233850487,,,,
134,1.9467823440349483,,,,
135,1.3584362517899575,,,,
136,4.059529213045914,,,,
137,3.2443069195882024,,,,
138,4.290008958782388,,,,
139,2.785971788759343,,,,
140,4.294586122811591,,,,
141,2.0853276488767203,,,,
142,3.146403550907748,,,,
143,1.065368773982208,,,,
144,5.998022657161895,,,,
145,1.0110352941844023,,,,
146,4.255575945749354,,,,
