,delta_sigma_eta,betas,varnames,specification,IV_varnames
0,-0.809934678217553,5.209456172672737,x1,iv_allhausman_w,price_others
1,6.126320620353618,1.0066928868038167,x2,,price_others_sq
2,4.794517052145055,1.073840594597411,x3,,w
3,6.085902590133785,-0.9335039613197316,price,,
4,5.246432926893956,,,,
5,6.844972335173822,,,,
6,4.454986786632361,,,,
7,4.020459721494632,,,,
8,3.317495091952387,,,,
9,0.5440558905660928,,,,
10,4.0001854642859715,,,,
11,2.7332989065599347,,,,
12,2.411345304652346,,,,
13,4.138014766365272,,,,
14,3.803443461263915,,,,
15,2.104250725435554,,,,
16,2.431085974254557,,,,
17,1.8057407695795638,,,,
18,2.548975892111142,,,,
19,2.0901452128779243,,,,
20,1.481998711719882,,,,
21,-2.196036068519999,,,,
22,2.8897376096636083,,,,
23,0.9814997348323414,,,,
24,0.9165182201346926,,,,
25,5.411505177840977,,,,
26,6.013669411063883,,,,
27,0.44734147567388444,,,,
28,4.847852873379488,,,,
29,0.5517725439851635,,,,
30,1.2396899550604719,,,,
31,2.204073532892684,,,,
32,0.5962412515326901,,,,
33,2.4349361537550585,,,,
34,4.942584383145213,,,,
35,4.154131735283557,,,,
36,-0.20985961970448946,,,,
37,4.419170283028451,,,,
38,3.2070712788403264,,,,
39,4.108704647070578,,,,
40,3.3862574104077914,,,,
41,3.687183761548688,,,,
42,1.2569258418220233,,,,
43,3.3829167319006834,,,,
44,4.462828732098193,,,,
45,2.9681043282510533,,,,
46,2.77863572987235,,,,
47,4.802917856786618,,,,
48,0.9047796722552371,,,,
49,5.919507999252859,,,,
50,3.8282381025116123,,,,
51,2.3493285673640947,,,,
52,3.586336211815236,,,,
53,1.229627257634691,,,,
54,4.726987094758395,,,,
55,2.743268464807914,,,,
56,4.683683960870284,,,,
57,1.5746863095742378,,,,
58,2.493490500398561,,,,
59,0.6091341023756616,,,,
60,0.6698111645056251,,,,
61,1.245655391058181,,,,
62,1.705366930765197,,,,
63,2.0267296623471527,,,,
64,4.4511670827021055,,,,
65,4.1233910622476095,,,,
66,-2.3672911132648378,,,,
67,5.6234182529497305,,,,
