,delta_sigma_eta,betas,varnames,specification,IV_varnames
0,11.919935290927185,10.611146866779965,x1,iv_hausman,price_others
1,16.93253525656416,2.0128348386890886,x2,,price_others_sq
2,16.26036048500586,1.987751395156657,x3,,
3,17.026160763862105,-0.42380222407187496,price,,
4,14.896314048920102,,,,
5,16.456875936979817,,,,
6,10.94810230217072,,,,
7,10.235870119338681,,,,
8,6.902871379314897,,,,
9,8.990875448457189,,,,
10,10.870611720046414,,,,
11,10.265522449992,,,,
12,10.706201933654638,,,,
13,11.352382621608944,,,,
14,11.359615022589244,,,,
15,8.641379835579627,,,,
16,8.488927318187356,,,,
17,8.157092712317693,,,,
18,8.311647820064334,,,,
19,8.260622910806845,,,,
20,8.18028405173678,,,,
21,3.8826272727806117,,,,
22,6.982810606985385,,,,
23,6.738735949902967,,,,
24,12.08753018771666,,,,
25,13.505810636819698,,,,
26,16.347614697332283,,,,
27,10.45925044689283,,,,
28,13.42674869752013,,,,
29,8.786633056000158,,,,
30,6.092049667199662,,,,
31,5.949039027876059,,,,
32,5.773945643473795,,,,
33,11.018487593701364,,,,
34,12.936657098996513,,,,
35,13.107832981615653,,,,
36,9.475205630655502,,,,
37,12.368816188854005,,,,
38,12.109767435420034,,,,
39,13.440575441012088,,,,
40,9.757288765946962,,,,
41,11.191294253846904,,,,
42,8.752731234425207,,,,
43,8.329113243709736,,,,
44,11.74952232338928,,,,
45,11.855195410281084,,,,
46,10.661129820231533,,,,
47,12.19963215816667,,,,
48,12.096090156500223,,,,
49,15.59740771368386,,,,
50,10.209241407905303,,,,
51,9.236184978539143,,,,
52,9.222725028981502,,,,
53,8.336613015538665,,,,
54,13.60883027516196,,,,
55,12.1261829057848,,,,
56,11.738491949783986,,,,
57,7.447226439369784,,,,
58,8.00966016335375,,,,
59,5.2372550548513885,,,,
60,4.686681259516402,,,,
61,5.982615395780072,,,,
62,5.29887063472847,,,,
63,10.527435127596702,,,,
64,11.317126927581239,,,,
65,12.556516333126382,,,,
66,3.275100526314459,,,,
67,9.543182914296295,,,,
68,8.458834570478766,,,,
69,9.187670092718454,,,,
70,6.137630676277541,,,,
