,delta_sigma_eta,betas,varnames,specification,IV_varnames
0,1.3508356696465253,9.124049011530438,x1,iv_x3,x3_other1
1,7.976937731300904,1.7922237736578401,x2,,x3_other2
2,6.756557457667249,1.3303381027208063,x3,,
3,7.315847934485514,-1.957085250087163,price,,
4,6.231588024377938,,,,
5,7.824995019960297,,,,
6,5.421764184456026,,,,
7,4.946973465371474,,,,
8,3.8259704283685005,,,,
9,2.1320595246963743,,,,
10,5.218395298512996,,,,
11,4.0838130492696765,,,,
12,3.7357626581952266,,,,
13,5.26713943711292,,,,
14,4.987073723935002,,,,
15,3.3480179541348534,,,,
16,3.5778028152934085,,,,
17,3.010880873561343,,,,
18,3.6467441211222713,,,,
19,3.257347394160345,,,,
20,2.744696798454107,,,,
21,-1.04857551725354,,,,
22,3.6579642076902696,,,,
23,2.074923957497904,,,,
24,2.889233071540913,,,,
25,6.734234054452077,,,,
26,7.799821588905425,,,,
27,2.2609732049710454,,,,
28,6.356777726392304,,,,
29,2.0047180846303405,,,,
30,2.1332432760610893,,,,
31,2.911513892090381,,,,
32,1.5498586052035248,,,,
33,3.6573292952298275,,,,
34,6.07269975932001,,,,
35,5.443117632212382,,,,
36,1.595746035219843,,,,
37,5.893783056212748,,,,
38,4.857730935050835,,,,
39,5.726576722527708,,,,
40,4.499233435195812,,,,
41,4.987837052772847,,,,
42,2.374233914569303,,,,
43,4.147460341294077,,,,
44,5.553407989823179,,,,
45,4.187080311279995,,,,
46,3.8433286113993903,,,,
47,5.800471018123208,,,,
48,2.9251190025462623,,,,
49,7.688418097294805,,,,
50,5.053678924980163,,,,
51,3.495986712022073,,,,
52,4.5204902708435695,,,,
53,2.4195420237095595,,,,
54,6.216211234495116,,,,
55,4.329297620186808,,,,
56,5.821159113069385,,,,
57,2.6556029371697094,,,,
58,3.506731091263249,,,,
59,1.4630217442012445,,,,
60,1.3727690451928947,,,,
61,2.1050984278519627,,,,
62,2.325689794524659,,,,
63,3.307731963188075,,,,
64,5.447507969032767,,,,
65,5.389954824470899,,,,
66,-1.4325303203447073,,,,
67,6.252003883589082,,,,
68,5.6769695368176105,,,,
69,4.7490419832712,,,,
70,4.007705928561334,,,,
71,4.393272829955587,,,,
72,4.2854756182597145,,,,
73,6.143397196484837,,,,
74,5.5215207801168225,,,,
75,8.696684689092216,,,,
76,4.872426299064117,,,,
77,10.092758413471033,,,,
78,4.603549370426814,,,,
79,7.0524979681098765,,,,
80,6.186793877365158,,,,
81,4.509607400088276,,,,
82,7.53946749182781,,,,
83,6.45134694620312,,,,
84,1.2790967487500489,,,,
85,1.2225188449712447,,,,
86,2.137999027967115,,,,
87,4.010657039647262,,,,
88,3.301105229596166,,,,
89,1.6080583454760526,,,,
90,3.9067807999869246,,,,
91,8.968782749689865,,,,
92,7.4968427337675045,,,,
93,2.0984931771647997,,,,
94,7.646006534977822,,,,
95,7.480722951838751,,,,
96,4.084002107803897,,,,
97,0.31903674024908235,,,,
98,4.363659820177399,,,,
99,7.390674620486122,,,,
100,7.5574667961890905,,,,
101,7.316949900273773,,,,
102,5.282398315880373,,,,
103,4.4432812630243355,,,,
104,5.378354246578667,,,,
105,4.153896083105901,,,,
106,1.624773959611421,,,,
107,4.667575596002559,,,,
108,1.0808811870159678,,,,
109,1.084447227257897,,,,
110,5.5462049259202715,,,,
111,1.2607592741570877,,,,
112,3.202824115318701,,,,
113,0.4037435030704176,,,,
114,6.154762864508118,,,,
115,4.698960623819252,,,,
116,5.209104083338065,,,,
117,4.5475050239847485,,,,
118,4.847784604245425,,,,
119,2.8002257090712153,,,,
120,7.273503280233732,,,,
121,3.1204405775411894,,,,
122,6.932419238573219,,,,
123,2.367647655553021,,,,
124,3.5588446960787934,,,,
125,4.241499927228945,,,,
126,4.080420048236682,,,,
127,3.934699793044938,,,,
128,5.792588490242268,,,,
129,3.229824120399542,,,,
130,2.1592957165694315,,,,
131,2.963066161994498,,,,
132,3.3926794785400713,,,,
133,0.24213795160717613,,,,
134,2.741562298979333,,,,
135,3.068616471733,,,,
136,5.698629074552948,,,,
137,4.5859182620356735,,,,
138,6.241883857824112,,,,
139,4.190096926290133,,,,
140,5.9987605287019345,,,,
141,3.4648686067490226,,,,
142,4.273449574510861,,,,
143,2.284537249404254,,,,
144,7.73513919542755,,,,
145,3.1336400561371915,,,,
146,5.6166035441577105,,,,
147,3.201038137272252,,,,
148,4.7471092039860965,,,,
149,5.680381651269647,,,,
150,4.212385138831932,,,,
151,5.602314716145144,,,,
152,3.0506539868144547,,,,
153,4.127893455361432,,,,
154,5.190289937585508,,,,
155,6.290738949155854,,,,
156,3.517827144473408,,,,
157,4.639348533599833,,,,
158,5.333717098118271,,,,
159,3.830890553101916,,,,
160,3.4748176560557202,,,,
161,6.025571865176046,,,,
162,7.879285004637368,,,,
163,7.450923100005963,,,,
164,3.006850357717981,,,,
165,6.071031776978451,,,,
166,3.2344824226796516,,,,
167,4.006123568161891,,,,
168,3.2882318059948763,,,,
169,3.617412131972785,,,,
170,3.7955766250505403,,,,
171,0.963984082812132,,,,
172,3.985071769961199,,,,
173,3.1220909080197576,,,,
174,2.6111441508067292,,,,
175,4.432153288696358,,,,
176,4.357459898919041,,,,
177,7.139672897763513,,,,
178,5.928286212414541,,,,
179,6.227650101616143,,,,
180,6.183419381530795,,,,
181,7.4170629321804995,,,,
182,4.196540495115644,,,,
183,4.819134238135368,,,,
184,6.484521356845039,,,,
185,7.088137661055017,,,,
186,1.1486735785444022,,,,
187,6.008216676450253,,,,
188,3.6454610007540493,,,,
189,4.29027232661479,,,,
190,6.330143019278514,,,,
191,2.6595315235500285,,,,
192,4.790283686207081,,,,
193,5.150224518999435,,,,
194,1.5236822607682545,,,,
195,3.4980500982141542,,,,
196,6.565202978708483,,,,
197,4.0646309185564995,,,,
198,4.816298325599209,,,,
199,5.540556577344892,,,,
200,6.967020768724203,,,,
201,4.920219478808702,,,,
202,4.086554357025039,,,,
203,3.914847159322681,,,,
204,0.5973613113564632,,,,
205,1.4485037961565983,,,,
206,0.023118809819122038,,,,
207,0.20932372136242114,,,,
208,4.133908609761883,,,,
209,0.5274291508978021,,,,
210,1.9075411273509886,,,,
211,3.4759969596304208,,,,
212,0.5159130379419241,,,,
213,2.810488839813591,,,,
214,6.523365672496812,,,,
215,3.6907820570914773,,,,
216,5.913363095164372,,,,
217,5.7532696962340095,,,,
218,5.99621173015585,,,,
219,6.337723510195959,,,,
220,5.292411928902028,,,,
221,5.6665706387309465,,,,
222,3.0476300792940525,,,,
223,2.849582745950607,,,,
224,3.191817000417155,,,,
225,4.31155714771584,,,,
226,4.672007028641644,,,,
227,1.103485228069967,,,,
228,3.096142374850221,,,,
229,3.70769042732699,,,,
230,4.707287130983195,,,,
231,2.889183672822679,,,,
232,0.9353167281143824,,,,
233,0.8956647841039745,,,,
234,3.7245940286804746,,,,
235,3.7334527951018264,,,,
236,5.875361164691171,,,,
237,4.224223969024205,,,,
238,6.406796276558799,,,,
239,7.024117768638562,,,,
240,4.403776062005809,,,,
241,5.139312082001876,,,,
242,2.9340821907994292,,,,
243,4.579406224872497,,,,
244,5.8618668693505835,,,,
245,3.999126334053158,,,,
246,3.4890647990704924,,,,
247,9.838591684126877,,,,
248,7.01947110127381,,,,
249,3.194570369683309,,,,
250,-0.7552898060741295,,,,
251,-1.0352884041397816,,,,
252,4.679463563275561,,,,
253,4.724531242908961,,,,
254,5.02785012624595,,,,
255,4.9466339588491905,,,,
256,4.35000039211402,,,,
257,2.5463565771713372,,,,
258,3.678983120178196,,,,
259,4.69717786892516,,,,
260,3.9971262885534147,,,,
261,2.8178300648657846,,,,
262,4.904081170667737,,,,
263,1.8329653555901313,,,,
264,3.005044082892249,,,,
265,1.6258102118498337,,,,
266,2.7597621471146616,,,,
267,7.257965785333775,,,,
268,6.945946338301907,,,,
269,6.333021708971413,,,,
270,1.6094859279625957,,,,
271,5.0019588769258485,,,,
272,5.634173618471154,,,,
273,2.970317738860676,,,,
274,4.2919853898207,,,,
275,3.0982917277017945,,,,
276,0.06462547983409694,,,,
277,1.0710217628501637,,,,
278,1.4410443834228885,,,,
279,2.52619225465879,,,,
280,4.3928866597802125,,,,
281,3.3380388262683938,,,,
282,-0.2880608001168425,,,,
283,2.306266779733279,,,,
284,2.774268883607147,,,,
285,2.1053176499321524,,,,
286,4.319670705297171,,,,
287,6.588454423218007,,,,
288,4.562227447499324,,,,
289,4.413266819760885,,,,
290,3.187037807426465,,,,
291,2.248841165063776,,,,
