,delta_sigma_eta,betas,varnames,specification,IV_varnames
0,-1.4568414291797538,4.992953457173929,x1,iv_x3_hausman,x3_other1
1,5.758305971818042,0.9678094344950213,x2,,x3_other2
2,4.37896750611744,1.034210696761687,x3,,price_others
3,4.912928898315978,-0.9784632349362582,price,,
4,4.1789954422417335,,,,
5,5.780737985465041,,,,
6,3.979335783646038,,,,
7,3.5710429741969416,,,,
8,3.0621852158390546,,,,
9,0.33084432016780907,,,,
10,3.8117885068203976,,,,
11,2.532692911386293,,,,
12,1.97474558159723,,,,
13,3.769654793264679,,,,
14,3.4165879629208025,,,,
15,1.9541104235383624,,,,
16,2.280305701613752,,,,
17,1.65492786829903,,,,
18,2.4178722117578753,,,,
19,1.9434151881737405,,,,
20,1.3115083253442537,,,,
21,-2.4448127320186814,,,,
22,2.8176843651660084,,,,
23,0.7820106064746676,,,,
24,0.5706805850827681,,,,
25,5.1571095889715695,,,,
26,5.687407256202783,,,,
27,0.1073064819386062,,,,
28,4.587317710520297,,,,
29,0.3044429729363825,,,,
30,1.0562712067113937,,,,
31,2.0969853017099123,,,,
32,0.3845667140171053,,,,
33,1.8000417792514738,,,,
34,4.3456977176597515,,,,
35,3.491273330685836,,,,
36,-0.49328306919382314,,,,
37,4.276779923488494,,,,
38,3.015830681421145,,,,
39,3.6437532151820315,,,,
40,3.142838081706382,,,,
41,3.3868791576834307,,,,
42,0.6779977848753956,,,,
43,3.068025920918122,,,,
44,3.911970369722021,,,,
45,2.166166043900271,,,,
46,2.1299520610735563,,,,
47,4.1991358640994605,,,,
48,0.45699305356273634,,,,
49,5.637181938011098,,,,
50,3.7250524877091618,,,,
51,1.991700252239822,,,,
52,3.326407141942302,,,,
53,0.8499658081035727,,,,
54,4.322373561112235,,,,
55,2.3012529008095868,,,,
56,4.377997314670757,,,,
57,1.3781983872031391,,,,
58,2.3046813428958584,,,,
59,0.43887203620318427,,,,
60,0.46864594214124666,,,,
61,1.0402751816425253,,,,
62,1.5109828730098829,,,,
63,1.4219650645186759,,,,
64,3.9669286018201886,,,,
65,3.522981472450192,,,,
66,-2.59797227712796,,,,
67,5.634915006237559,,,,
68,5.205809871854092,,,,
69,3.560376151694111,,,,
70,3.525152087817341,,,,
71,3.2118470679440216,,,,
72,2.1160179627328395,,,,
73,4.397312207057179,,,,
74,3.7078955054429987,,,,
75,5.736395661664754,,,,
76,1.692905381938008,,,,
77,7.125791129310489,,,,
78,2.499839561644065,,,,
79,5.063967574150979,,,,
80,4.47752343746613,,,,
81,1.9118254741215526,,,,
82,5.370226610141428,,,,
83,4.265445906522345,,,,
84,0.26848867686036665,,,,
85,0.26137214647315005,,,,
86,1.2614933313510057,,,,
87,2.698687638143277,,,,
88,2.067116163421765,,,,
89,0.3906751686482686,,,,
90,0.8473039797967723,,,,
91,6.449112599939696,,,,
92,4.832013571035531,,,,
93,-0.4939745842344067,,,,
94,5.643714783627748,,,,
95,4.963583519648222,,,,
96,2.7021984291096826,,,,
97,-1.2265316668119595,,,,
98,2.9744901884529584,,,,
99,5.412098132198613,,,,
100,5.549412433749671,,,,
101,5.013432917278412,,,,
102,3.6910806945579364,,,,
103,2.6239155196109145,,,,
104,3.9109689914159596,,,,
105,2.7602295352663413,,,,
106,0.018767691105990025,,,,
107,3.227751331642251,,,,
108,-0.8241653723660745,,,,
109,-0.8121392631411316,,,,
110,3.912408906595357,,,,
111,-0.008053841262270897,,,,
112,2.2473600195597454,,,,
113,-0.8717145464584897,,,,
114,4.181708108972584,,,,
115,2.952827230482423,,,,
116,3.884436086330361,,,,
117,2.9128545780875967,,,,
118,3.2207267384923735,,,,
119,1.6401351261064736,,,,
120,5.327407518637137,,,,
121,0.9972161285994878,,,,
122,5.234980193769687,,,,
123,1.010343362970648,,,,
124,2.739845157370447,,,,
125,2.859737773474703,,,,
126,2.0686639570865997,,,,
127,2.155361292614203,,,,
128,4.277593607363777,,,,
129,2.217068581909516,,,,
130,1.5301443651614417,,,,
131,1.844910394404497,,,,
132,2.201666895468206,,,,
133,-1.1178535794629287,,,,
134,1.8874743295889995,,,,
135,1.2195902756488155,,,,
136,3.921121007576538,,,,
137,3.124384417355661,,,,
138,4.141377782278984,,,,
139,2.715378501661328,,,,
140,4.182361883266682,,,,
141,1.8975137936571416,,,,
142,3.0153881703995866,,,,
143,0.9139191549227572,,,,
144,5.924110972671678,,,,
145,0.892047258362397,,,,
146,4.205492116509522,,,,
147,1.419990358662034,,,,
148,3.4824314534443563,,,,
149,4.057541204849573,,,,
150,2.6911175419384072,,,,
151,3.9918028008480873,,,,
152,1.2229697487228044,,,,
153,2.088745901446135,,,,
154,3.7551585602170467,,,,
155,4.586001368043736,,,,
156,1.8626431948103348,,,,
157,3.453193592486306,,,,
158,3.6666100355273374,,,,
159,1.6684478982425381,,,,
160,1.776216688104794,,,,
161,4.343630382890343,,,,
162,5.600431085106119,,,,
163,5.140696960966247,,,,
164,0.7470933236414429,,,,
165,4.342110258706287,,,,
166,1.680826050556264,,,,
167,2.2775294249813847,,,,
168,1.8800984764779933,,,,
169,2.3045493955801346,,,,
170,2.831447743512718,,,,
171,-0.4576274999255396,,,,
172,2.9186618678793157,,,,
173,1.5801741424402924,,,,
174,0.7496874300371232,,,,
175,2.9382063356772243,,,,
176,3.0905441098118103,,,,
177,5.2001170889066115,,,,
178,4.228876439200734,,,,
179,4.056880169330223,,,,
180,3.7124117138539967,,,,
181,5.415279358781459,,,,
182,2.4083080692581427,,,,
183,2.5157512969149973,,,,
184,4.730184751986502,,,,
185,4.944237503253086,,,,
186,-1.064419813814247,,,,
187,4.2750057051872865,,,,
188,1.7517277055861566,,,,
189,2.2286938670308,,,,
190,4.57549370996216,,,,
191,1.1640619808141308,,,,
192,3.0935225951853718,,,,
193,3.705209360830444,,,,
194,-0.41018832389562565,,,,
195,1.318047104299149,,,,
196,4.685226390887745,,,,
197,1.9354798091668741,,,,
198,2.757805267648831,,,,
199,3.710666388346401,,,,
200,5.07616526102635,,,,
201,3.5404535879886407,,,,
202,2.32136578465533,,,,
203,2.3184052659690497,,,,
204,-0.45299401490258734,,,,
205,0.6560950175945194,,,,
206,-0.654842414942897,,,,
207,-1.048211855406061,,,,
208,2.8143563721128784,,,,
209,-0.8073515505424571,,,,
210,0.6721835648786064,,,,
211,2.3905943245305115,,,,
212,-0.7428504367194774,,,,
213,0.5554771825391849,,,,
214,4.797291465353863,,,,
215,1.714980688559949,,,,
216,3.929585085967495,,,,
217,3.783576693287404,,,,
218,4.1063613842651865,,,,
219,4.282215141107022,,,,
220,3.8057052055452187,,,,
221,4.0002644901456925,,,,
222,1.8256543689060016,,,,
223,1.7140963004016736,,,,
224,1.868649919680726,,,,
225,2.789450929711812,,,,
226,3.5737153662892394,,,,
227,-0.49520092781907904,,,,
