,delta_sigma_eta,betas,varnames,specification,IV_varnames
0,-1.352508257398817,5.037378631967444,x1,iv_x3_hausman_w,x3_other1
1,5.708043879416004,0.9761143646007169,x2,,x3_other2
2,4.344933421597872,1.040763278774736,x3,,price_others
3,5.573551446273284,-0.975412061548546,price,,w
4,4.80730116294701,,,,
5,6.407542002056218,,,,
6,4.163110692147923,,,,
7,3.7422739577353026,,,,
8,3.164487512883125,,,,
9,0.1986459104175654,,,,
10,3.734634782786201,,,,
11,2.439681829440061,,,,
12,2.065485406586462,,,,
13,3.84523825639041,,,,
14,3.496308449645038,,,,
15,1.8368871729714884,,,,
16,2.182029182198569,,,,
17,1.5456111307015552,,,,
18,2.3134210323069406,,,,
19,1.8384122442942896,,,,
20,1.207209137619022,,,,
21,-2.4717546751954123,,,,
22,2.729787851168281,,,,
23,0.7280972159175803,,,,
24,0.47234106462007597,,,,
25,5.117793717775588,,,,
26,5.612106165827601,,,,
27,0.03423537565135813,,,,
28,4.512809313962706,,,,
29,0.2298366309977085,,,,
30,1.0282328402591976,,,,
31,2.044971890664011,,,,
32,0.3666171162328661,,,,
33,2.0572868321820996,,,,
34,4.59121449418725,,,,
35,3.757094199725758,,,,
36,-0.6055124740679113,,,,
37,4.1195518753600915,,,,
38,2.8637508424990497,,,,
39,3.6982173613044824,,,,
40,3.1231291437621818,,,,
41,3.376327045537303,,,,
42,0.9117981778137627,,,,
43,3.16502849289774,,,,
44,4.129221430590923,,,,
45,2.551068144773312,,,,
46,2.4264050465919094,,,,
47,4.473553053631745,,,,
48,0.4254724155866697,,,,
49,5.526920147888646,,,,
50,3.577147559417658,,,,
51,2.052823218278218,,,,
52,3.3524381917755983,,,,
53,0.9193985000315733,,,,
54,4.357497278048818,,,,
55,2.345529980118474,,,,
56,4.405680958164229,,,,
57,1.3251490998714675,,,,
58,2.2585886754522586,,,,
59,0.4084185998485427,,,,
60,0.48900171857292196,,,,
61,1.0324952262964417,,,,
62,1.5423572600400406,,,,
63,1.6445503616119241,,,,
64,4.151959664691189,,,,
65,3.745169992647919,,,,
66,-2.5933845381627783,,,,
67,5.515060021024119,,,,
68,5.07638840009566,,,,
69,3.7146064271340613,,,,
70,3.5282319150210775,,,,
71,3.364205057899092,,,,
72,2.3440590106085852,,,,
73,4.523978626797828,,,,
74,3.845506988459659,,,,
75,6.279429221200803,,,,
76,2.242786827901473,,,,
77,7.669278251294362,,,,
78,2.539403086459157,,,,
79,5.098179790496288,,,,
80,4.495568666916655,,,,
81,2.2056380388011356,,,,
82,5.488480447056675,,,,
83,4.38680380505063,,,,
84,0.3752354793860492,,,,
85,0.36259539808254815,,,,
86,1.353021687695314,,,,
87,2.7025326488683943,,,,
88,2.0691513462643685,,,,
89,0.3924751727513311,,,,
90,0.8481224323527263,,,,
91,6.437020283108538,,,,
92,4.826217280616026,,,,
93,-0.2862654684857886,,,,
94,5.715346025414334,,,,
95,5.148995200581751,,,,
96,2.9883965951644704,,,,
