,delta_sigma_eta,betas,varnames,specification,IV_varnames
0,-1.345443249230464,5.034306150810104,x1,iv_x3_w,x3_other1
1,5.713456553345475,0.9754235758263781,x2,,x3_other2
2,4.350754693930161,1.0409899103089666,x3,,w
3,5.5801726464067345,-0.9729210052214111,price,,
4,4.8129543990771095,,,,
5,6.413173142108501,,,,
6,4.166919927039245,,,,
7,3.7459030453581867,,,,
8,3.166475465937968,,,,
9,0.2031483528742665,,,,
10,3.7380854501184095,,,,
11,2.4434990058850476,,,,
12,2.069978536990282,,,,
13,3.8490360483178283,,,,
14,3.500293077915636,,,,
15,1.8403822742898144,,,,
16,2.1852856214559595,,,,
17,1.5490118689807446,,,,
18,2.3164998552199254,,,,
19,1.8417020417535015,,,,
20,1.210800422454049,,,,
21,-2.4681324824315536,,,,
22,2.7318732551333733,,,,
23,0.7314205947246764,,,,
24,0.4781164803178184,,,,
25,5.121583297845755,,,,
26,5.61731586798019,,,,
27,0.03961609996745157,,,,
28,4.51716226154197,,,,
29,0.23401943255409552,,,,
30,1.0310023051282153,,,,
31,2.0470534133635545,,,,
32,0.36962678466018195,,,,
33,2.062188686327666,,,,
34,4.595774381719167,,,,
35,3.762250133531639,,,,
36,-0.6003539747956302,,,,
37,4.1234436508953465,,,,
38,2.868213879829531,,,,
39,3.7035807920627732,,,,
40,3.126556507889615,,,,
41,3.3803760461050145,,,,
42,0.9163046349865108,,,,
43,3.1678677511978646,,,,
44,4.133575879257102,,,,
45,2.556498931182207,,,,
46,2.430978682702697,,,,
47,4.477828732450157,,,,
48,0.43173505453637967,,,,
49,5.532034754767296,,,,
50,3.5804170885370756,,,,
51,2.0566899970785393,,,,
52,3.355483431672541,,,,
53,0.9234471447660795,,,,
54,4.362302669011464,,,,
55,2.3507110495713954,,,,
56,4.409283236439756,,,,
57,1.3284144096712733,,,,
58,2.2616627634028283,,,,
59,0.41104690501655,,,,
60,0.4913711114484503,,,,
61,1.035289786452156,,,,
62,1.544493389899835,,,,
63,1.6495262291652433,,,,
64,4.155847218374693,,,,
65,3.7500933706462347,,,,
66,-2.59043676142924,,,,
67,5.516433825674112,,,,
68,5.077379643395125,,,,
69,3.7177643730286207,,,,
70,3.5294242695973344,,,,
71,3.3673427959189723,,,,
72,2.349678083904621,,,,
73,4.528439774128674,,,,
74,3.8501420948089677,,,,
75,6.287410803467913,,,,
76,2.2513638922320927,,,,
77,7.677277333532923,,,,
78,2.5446869519557267,,,,
79,5.103147831260393,,,,
80,4.499821036320419,,,,
81,2.212308709451765,,,,
82,5.493964999939011,,,,
83,4.3923308272487125,,,,
84,0.3779534368572488,,,,
85,0.3651808866349274,,,,
86,1.3553813836215904,,,,
87,2.70588801784192,,,,
88,2.072308625720748,,,,
89,0.39559053903023095,,,,
90,0.8557900225155132,,,,
91,6.4431713964139385,,,,
92,4.832744227463467,,,,
93,-0.27965954642717666,,,,
94,5.720305116949431,,,,
95,5.155384214930364,,,,
96,2.9921505741885133,,,,
97,-0.9022900197111129,,,,
98,3.2661756724822935,,,,
99,5.155450271915903,,,,
100,5.289037524775694,,,,
101,4.711650585121254,,,,
102,3.7561175538421416,,,,
103,2.702854652926893,,,,
104,3.966322010878976,,,,
105,3.0401753437780923,,,,
106,0.3345859386761605,,,,
107,3.5154292736724124,,,,
108,-0.9868910569158083,,,,
109,-0.9723776236985067,,,,
110,3.808049394508941,,,,
111,0.10017790740393029,,,,
112,2.3018765950409206,,,,
113,-0.7615003980476615,,,,
114,4.31031020564523,,,,
115,3.0993765031578073,,,,
116,4.041724224021576,,,,
117,2.91275210970105,,,,
118,3.2213756343206907,,,,
119,1.6671597272398413,,,,
120,5.23994828012355,,,,
121,0.8822273538292281,,,,
122,5.189135678104976,,,,
123,1.1914391948417054,,,,
124,2.8053675776134233,,,,
125,3.043802294440293,,,,
126,2.483758168576579,,,,
127,2.491529900328123,,,,
128,4.566778050906608,,,,
129,2.148068017621199,,,,
